Case,AoA,NumPan,CL,CD
3,-1.0,200,-0.12808273834582573,0.15979735945583995
3,1.0,24,0.09212435062413488,0.09217058611180234
3,1.0,50,0.10814878620278094,0.09116940765277845
3,1.0,100,0.11672934722859536,0.08895313294321183
3,1.0,200,0.12156089531984679,0.05410293796208042
3,3.0,24,0.3423659671145652,0.059293044126520894
3,3.0,50,0.35891743224357914,0.05765863873185351
3,3.0,100,0.36827458089985937,0.05436614216511477
3,3.0,200,0.37820624277193327,-0.049551415860454605
3,5.0,24,0.5937013862553457,0.02890077039996428
3,5.0,50,0.6110989134051011,0.02607270254558906
3,5.0,100,0.6214226867805963,0.0218110255778817
3,5.0,200,0.6412786274178238,-0.1503042042522072
4,-5.0,24,-0.7703204260309662,0.0032957284000325465
4,-5.0,50,-0.7503586430246899,0.0013323510303166995
4,-5.0,100,-0.7401998442441972,0.0006128839754224111
4,-5.0,200,-0.7351272727840946,0.000293608935006834
4,-3.0,24,-0.46267869352492996,0.0011912966084958315
4,-3.0,50,-0.45062593311787436,0.00048160074832819325
4,-3.0,100,-0.4445015303731339,0.00022153724843198934
4,-3.0,200,-0.44144478817861027,0.00010612990090254522
4,-1.0,24,-0.15430739462151824,0.0001326354631992488
4,-1.0,50,-0.15027715187421967,5.362001190632737e-05
4,-1.0,100,-0.14823081532819896,2.4665306148027172e-05
4,-1.0,200,-0.14720969468073514,1.1816191253235034e-05
4,1.0,24,0.15430739462152154,0.00013263546319927655
4,1.0,50,0.1502771518742217,5.3620011906410636e-05
4,1.0,100,0.14823081532820173,2.466530614800462e-05
4,1.0,200,0.1472096946807371,1.1816191253198605e-05
4,3.0,24,0.4626786935249326,0.0011912966084957274
4,3.0,50,0.4506259331178776,0.00048160074832824876
4,3.0,100,0.4445015303731397,0.00022153724843186617
4,3.0,200,0.44144478817861516,0.00010612990090257731
4,5.0,24,0.7703204260309704,0.003295728400032477
4,5.0,50,0.7503586430246934,0.0013323510303165885
4,5.0,100,0.7401998442442017,0.000612883975422477
4,5.0,200,0.7351272727840991,0.00029360893500679757
5,-5.0,24,-0.6537799650248202,0.036123795535301206
5,-5.0,50,-0.7767531525894127,0.008843192954166284
5,-5.0,100,-0.8511995627845572,0.006671176745589379
5,-5.0,200,-0.74592115745305,0.004883204940838853
5,-3.0,24,-0.37533121583505863,0.030085060025188168
5,-3.0,50,-0.4876769714759959,0.0044378138059830066
5,-3.0,100,-0.5597231887918546,0.0024937790721812686
5,-3.0,200,-0.4428801812028011,0.00206323257532456
5,-1.0,24,-0.09628605989170842,0.02509140151825809
5,-1.0,50,-0.19971782326533746,0.001416859430420219
5,-1.0,100,-0.2710019205083351,-0.00034645448818178346
5,-1.0,200,-0.142559855964321,0.0002885096264585052
5,1.0,24,0.182851967730468,0.021230296327065995
5,1.0,50,0.08653376399364676,-0.000177322297441456
5,1.0,100,0.014367662484602592,-0.0018289959549380559
5,1.0,200,0.15447883654197403,-0.0004102480447236475
5,3.0,24,0.46157189101691576,0.018571389787678687
5,3.0,50,0.3704930086676433,-0.0003306855476450315
5,3.0,100,0.2958092729839557,-0.001965497732093925
5,3.0,200,0.44769141137037366,-3.14888734040539e-05
5,5.0,24,0.7393579310728537,0.017165314106796108
5,5.0,50,0.6515849403810527,0.000942110305406793
5,5.0,100,0.5727712036047391,-0.0007990868503305281
5,5.0,200,0.7365538143696702,0.0013975820914307953
6,-5.0,24,-0.7854442674879176,0.38291648421075397
6,-5.0,50,-0.7422865800624102,0.3664298236990243
6,-5.0,100,-0.7221939136094945,0.3508004697149892
6,-5.0,200,-0.6855331587068284,0.6538040054586559
6,-3.0,24,-0.49136100119908127,0.30824388343082304
6,-3.0,50,-0.45702903281920776,0.29599342340780593
6,-3.0,100,-0.4409023357793037,0.28115611469531226
6,-3.0,200,-0.42345542660195246,0.46409944860986657
6,-1.0,24,-0.192047046416886,0.2374057034537612
6,-1.0,50,-0.1665555055606823,0.22835124566441622
6,-1.0,100,-0.15429781328987077,0.21418467615337689
6,-1.0,200,-0.1475864406886916,0.27537056807763144
6,1.0,24,0.11166536905810882,0.17094631389503465
6,1.0,50,0.1284214612157315,0.16405359015995005
6,1.0,100,0.13692537933931553,0.15044923053062945
6,1.0,200,0.14150011515648656,0.08922483398137797
6,3.0,24,0.4188940309639195,0.10935407183957076
6,3.0,50,0.4271372073317299,0.10360712541030676
6,3.0,100,0.43201901696732764,0.09047064430532006
6,3.0,200,0.44307196985705355,-0.09276531508183687
6,5.0,24,0.7287133264547802,0.05305642198283852
6,5.0,50,0.7287802771602865,0.0474696549246535
6,5.0,100,0.730186112898412,0.03472211727859959
6,5.0,200,0.7562432786320243,-0.2690790767880154
